Topic,Title,URL,Comments,Likes,Khiem,Brett,Noushin,Label
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*Biden’s response to Tara Read’s allegations: “I seem to remember her, but I just can’t put my finger in… err… on it.”*",64,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Its hilarious how since Dana Perino got her makeover how weird a lot of the interractions with her male collegegues have become.  Tucker treats her like a princess and Gowdy just seem, idk, jealous? of her pod cast cohost.. lol",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I can’t even watch because I’m sure it’s the “4” and Juan Williams who feels it’s all valid and not a hoax.,1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*The DemonRATS favorite Doom’s Day Cult Leader: Greta Thunberg!😂😂😂*,99,1,1,1,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,President Trump will get re-elected because he's a great President. Doug Collins loves our President too. I'm for Doug Collins down here in Georgia. 😊✝️🇺🇸,22,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,What a septic tank swill hole of government. It's like going to a Baptist Church business meeting.,1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,They are not “folks” they are criminals!,14,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Good they put juan at the end, I will stop listening when he comes on.",1,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,The Republicans need to keep an eye on voter fraud from the sickning left.,339,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey time to come out of the closet and tell everyone that you are a Democrat pretending to be a Republican.,5,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Lol, when i cant spell his name but when the black guy smiles omg he is straight against what your about to say automatically",1,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"The DNC gave up on the Presidential race long ago, all their efforts are concentrated on fixing the election to win both Houses",92,1,1,1,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"too much leg,girl-otherwise I like her on the ""5""because she's actually intelligent,not just sexy.",1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,This guy talks a lot. But when it counted he did precisely jack.,18,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Technically, Impeachment 4.0",3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"LOL juan saying he believes in the constitution, is just one of the most laughable things ive ever heard.  Surprised the rest of the panel could even keep a straight face.",313,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Absolutely.,1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Yeah!!! Same old s*** different day!! Shovel it around and get nowhere!!😣😞😒 whatever🙏🙏🙏😔,13,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"We already have a way to hold them accountable. It's called the LAW They've already BROKEN!!!! Almost every one of them is involved in some shady deal or another. If Graham even thinks about calling these treasonous rat bastards to account, they simply say ""we'll expose you for the same crooked deals.""  It's devilish what they get away with.",0,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,We Americans cannot  wait until the entire government is Republican again in 2020! Trump 2020!!,3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"The Dems are so desperate for power again it’s frightening. 
Let’s make sure they never get it. Go vote!!!!!!",29,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"The way Juan reacts, it's as if what the rest of the Five are saying is, somewhat conspiracy theories...Juan hers some advise....Obama was a corrupt, incompetent President and there is factual evidence that shows it.",72,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*Best actress oscar goes to Nancy ""the ripper"" Pelosi for her stunning performance in the movie ""acquitted"".*",21,1,0,1,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Also Nancy: “ Everyone my age pees their pants ITS THE COOLEST!!”,8,1,0,1,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,He will get re-elected because of his achievements and in keeping his promises and due to the sense of his policies despite the lies and false accusations and slander by Pelosi !,3,0,0,1,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,They just want to say he's under Investigation during the election.,37,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Someone please get that jag-off Juan off this show!!!,2,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,What have the Democrats actually done these past few years....nothing,17,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*“We need to rebuild trust..” says the woman that bleach bitted 30k emails*,177,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"There ABSOLUTELY needs to be accountability and criminal charges against OBAMA, BIDEN, AND HILLARY! Also democrat leadership from Schiff to Pelosi, Nadler, Schumer, AND MOST DEFINITELY HILLARY!💯🇺🇸",106,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Juan's Conservative children have to be the most embarrassed kids in the world when someone ask ""who is your father?""",54,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Pelosi is a trump secret agent, she trying get him re-elected with her antics",4,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*Joe Biden says he has ""no idea what his son was doing."" Hmmm, well that's easy to believe because Joe Biden has no idea what Joe Biden is doing. 😂*",38,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Funny how the Left can investigate on made up evidence and keep going despite it being debunked. All the while the real evidence points to these so called investigators. Tired of this double standard.,11,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Juan ,, spews false laws from his lips and he's wrong ,,,, dang ,, ONE WRONG JUAN....",2,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,When did Ellen become an attorney?,0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,*It's time for the democrat party to collapse.*,2,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,I sure hope all these probes and court costs come out of their pockets not ours!,1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"We don’t need more ways Trey, we already h e laws on the book that I’ve been broken, what we need is weak Republicans to stand up and push for charges against treasonous criminals in Washington.",1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Did you hear what he said, ""nothing thats what""  they are all frightened of Killery, yes Killery",7,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,PLEASE DON'T TELL ME THERE'S GOING TO BE A SECOND IMPEACHMENT😔,1,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Gowdy, you're going to jail!",8,0,1,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Pelosi is sooo pissed at the AOC  for putting her through this.,22,0,1,0,1
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,He'll get reelected because he's a great president! Four more years!!!!!,60,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,​President Obama told FBI`s Comey to start investigating Flynn without any legitimate investigative basis. Their purpose with that was to harm Trump and his campaign. They both acted for Hillary Clinton.,45,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Is the Flynn case being done ""by the book""?  (joke)  Or has every single thing that they they have done so far  turned out to be shady as heck.  (truth)",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""The law is the law"" only when it favors the left's agenda.",11,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Thank you lyndsey sessions, uh uh, gowdy, I mean trey gowdy",2,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Trump will get re-elected, b/c he’s done everything, he said he would do!!!!  The Rats & sum Republicans, can’t stand what this outsider has done in 3 yrs, that they couldn’t do in 20-30 yrs!!!!  He’s getting my vote AGAIN!!!!",17,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*""Fredo Cuomo is doing his show from his wife's basement"" (as she is upstairs getting railed by her boyfriend).*",3,1,0,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Seriously get rid of Juan.,3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"This is a coup against the president, the country and the constitution.",13,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,They know what is going to happen in November and they’re terrified.,190,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,She needs to be committed,76,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Ask her out, Trey! 😘",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"*Remove them from the House, so we can get this country on the ball.*",4,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I guess Juan does not know that there is something called the federal rules of criminal procedure.,6,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Gowdy's a sellout just like the rest of them, he could've stopped it long ago and never did.",32,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,*The left is literally insane. Change my mind*,139,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Trey, the problem is that No one is being held accountable. The Congress is the biggest part of our problem in the US.",60,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"No views, but 18 likes including mine and 1 dislike?",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Shame on the Dems.  This bunch should never be reelected again.,106,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"The impeachment has been a blessing in disguise, because God has used it to actually expose the real enemy/enemies. It has been unjust, yes, yes, yes, but it is the way to expose who the real enemy is.",2,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,She drank her way through it .,10,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Listen up Trey!!! We The People DID NOT ELECT Dems like Schiff and Noodler!! DEAD PEOPLE DID!,49,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Democrats no longer represent the American people, its taxation without representation.",49,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,We need Trey Gowdy's to head the FBI  for our country.i do feel he is a honorable man.,1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*Dying from coronavirus doesn't scare me. Voting DemonRAT when I'm dead does!*,65,0,0,1,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,No one knows what mumbling Nancy is saying. She’s trying to say “I’m having a stroke”.,11,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"PELOSI is MENTALLY impaired.
America needs to be led a REAL SPEAKER of the HOUSE OF REPRESENTATIVES.",175,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I always fast forward when the jerk jaun speaks.  Wouldn’t waste my time listening to his stupid comments anymore.,1,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Trump will win regardless of Pelosi,228,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,What we need to work on is getting that damned logo off the screen.,2,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,AMERICA WE STAY STRONG DURING THIS TIME,76,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"I want them to impeach, they will love the red tsunami in November 🤣",24,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Is this really Trey Gowdy, with that fancy new hair cut and the new suit along with his nonstop lying and covering for the Deep state scum I thought he was Anderson Cooper.  Wow my bad.",0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Think of military martial justice for those enemies of the country!,39,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""You've actually seen too much.""
When Hillary Reveals Her FINAL FORM, then we can All Agree that We've Seen WAAAY Too Much. Can We Get Some Eye Bleach Over Here, Please?",0,1,1,0,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Let Schiff release all of his hidden docs and out the fake whistleblower Spy,311,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"If Juan wants to be an expert, then he should spend time learning the rules.",15,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,All them that talk tough now want to pop the Democrats on the hand and tell him to go to their room,0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Start impeachment against Pelosy  and others especially shift do to them what they have done to others,6,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Amen.,.....",0,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,Yes let's get a party in there that will do their job and do something for the people thank you representative Collins,45,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"PELOSI'S LIPS, YUK! -- I'VE SEEN BETTER LOOKING LIPS ON THE NORTH SIDE OF A SOUTH-BOUND MILK COW!!!",3,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"No, dummy,... Trump will win because of his policies, and the fact that they actually work.",23,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"And you wonder why ""most"" of the American people have lost complete faith in the government. Especially the Democrats!!!",44,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,HELL YES we need to be able to punish law breakers in Washington. DC has created a set of rules for themselves that no other American would get away with.,33,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Conservatives who live in a bubble are often surprised when outsiders fail to relate to the bubble's interior.

Seriously. We on the outside, have no effin' idea what you conservatives are talking about. We can't keep track of your conspiracy theories, word salads, and moving the goal posts all of the time.",0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,“Stopped watching the sequels after the second one” he is the chosen one,4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey bark but no bite Gowdy,45,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Two tiers of justice in America. One for Democrats and one for the rest of us...,55,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"Can someone please ask Mr Gowdy, why he and Paul Ryan stifled subpoena request during Trumps first two years in office? Russia! Russia! Russia!",1,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Please take Juan off this show. This show is too good. He ruins everything.,6,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,*They should put a democrat politician in jail for every criminal they let go.*,11,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"When Gowdy had the opportunity and power to do something, he QUIT! He had a way that could have been at least a start, he still thinks we buy his lines? No, he's like Graham.. Rino.",0,1,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I have to click away whenever Juan starts spouting his b.s.,35,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Trump will get reelected because of his accomplishments ,abilities and character.",35,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,I am 87 years old and in all my life I have never witnessed such dirty politics and corruption,118,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Maybe Goud has something to hide himself and this is why he be a flipping 🐟,35,0,1,1,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"C'mon Trey, what I want to hear is "" I found a way """,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"2020 and a deer is controlling Twitch, we should have let the virus run it’s course!",2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Donald J. Serpico ""THEY'RE DIRTY COPS!!!!!!!!!!!!!!!!""",4,0,1,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,*Put a 8 year old boy in front of Joe Biden and he'll be doing pushups without hands!*,8,1,1,1,1
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Lindsey Graham won't do anything. He is just another RINO.,2,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,The Mueller investigation was pathetic if you remember it. So was Kavenaugh and so was the Ukraine hoax.,55,0,1,1,1
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,Good ol Juan trying his best to represent the democrats so the 5 can say their fair and balanced 😂😂😂😂 your a list cause Juan. 👇👇👇👇,9,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Nothing will happen to all of the big wigs !! they'll get away with all  of this !!! Double standard !!,11,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"On the street, we say ""you don't like my first speed, you won't like my second"" I can't wait for 2024. 2020 is Trumps",2,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Trey Gowdy....I always thought highly of him but while he was a senator he did alot of talking that amounted to a whole lot of nothing!,0,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,That’s rich coming from Tre Gowdy. The guy who let Hillary Clinton skate...,10,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,Hey tray what exactly did you do again except talk good line oh that's right let your swamp buddy's go now your gone yourself wow news contributor you must be proud how far you've come up in the world,0,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"Juan simply never read the Federal Rules governing grand jury materials.  They are PRIVILEGED -- not because of anything President Trump said -- but because of what the Legislature said in the PAST.  It's called a LAW, Juan -- not a Presidential WISH.  If you can't read, listen to Judge Jeanine.  (Just a suggestion.)",3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"""Impeachment Infinity,"" sounds like a flavor of gourmet ice cream that's in Nancy Pelosi's refrigerator.",3,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"House: ""IMPEACH!!! REEEEEEEE!!!""
Senate: ""Lol, no.""",4,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Aside , i KEPT MY EYES DIRECTED ON A LEG REST SWITCH THE WHOLE TIME !!😳😳😳😳😳😳😳😳😳😳",4,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,"I like Graham, but if talks the talk, he needs to walk the walk!! Drain the swamp!!",1,0,0,0,0
Trump Impeachment,The Five' slams House Democrats' 'impeachment 2.0',https://www.youtube.com/watch?v=AX96tOm2CPg,"the democrats start so many investigations and impeachments, I can't Remember them all!😂😂",59,0,0,0,0
Trump Impeachment,Collins: Trump will get reelected because of Pelosi,https://www.youtube.com/watch?v=1_AGDr1UomY,"Facts: He was impeached in the house and acquitted in the senate, next chapter....",134,0,0,0,0
Trump Impeachment,Trey Gowdy reacts to news of unlikely investigation into Obama,https://www.youtube.com/watch?v=pejREEOd4NY,I hope Trey Gowdy has learned from his mistakes he could be very helpful to the American citizens in the future,0,0,0,0,0
